isStandard,isPremium,isFamily,offline,live,contract,expectedPrice
True,False,False,True,True,True,300
True,False,False,True,True,False,350
True,False,False,True,False,True,200
True,False,False,True,False,False,250
True,False,False,False,True,True,200
True,False,False,False,True,False,250
True,False,False,False,False,True,100
True,False,False,False,False,False,150
False,True,False,True,True,True,500
False,True,False,True,True,False,550
False,True,False,True,False,True,400
False,True,False,True,False,False,450
False,True,False,False,True,True,400
False,True,False,False,True,False,450
False,True,False,False,False,True,300
False,True,False,False,False,False,350
False,False,True,True,True,True,600
False,False,True,True,True,False,650
False,False,True,True,False,True,500
False,False,True,True,False,False,550
False,False,True,False,True,True,500
False,False,True,False,True,False,550
False,False,True,False,False,True,400
False,False,True,False,False,False,450
